,password,length,num_chars,num_digits,num_upper,num_lower,num_special,num_vowels,num_syllables,strength,entropy
10000,8WD04QOgB4,10,,4,5,1,0,,,1,59.54196310386875
10001,w6QbGnEhIJ,10,,1,5,4,0,,,1,59.54196310386875
10002,yQgPg66AvQ,10,,2,4,4,0,,,1,59.54196310386875
10003,LkKJSXjeQ9,10,,1,6,3,0,,,1,59.54196310386875
10004,wXWgV1VSpD,10,,1,6,3,0,,,1,59.54196310386875
10005,a5PLe5WLOP,10,,2,6,2,0,,,1,59.54196310386875
10006,ermxkU7iaY,10,,1,2,7,0,,,1,59.54196310386875
10007,EC91Q0i6Mk,10,,4,4,2,0,,,1,59.54196310386875
10008,KLRLCY0tob,10,,1,6,3,0,,,1,59.54196310386875
10009,nDqu3dXMEe,10,,1,4,5,0,,,1,59.54196310386875
10010,Ccq8kbUi8S,10,,2,3,5,0,,,1,59.54196310386875
10011,xx4jPmVcQt,10,,1,3,6,0,,,1,59.54196310386875
10012,lTsP5GruAe,10,,1,4,5,0,,,1,59.54196310386875
10013,TgaAvDImnB,10,,0,5,5,0,,,1,57.004397181410916
10014,gd3S2yuFbm,10,,2,2,6,0,,,1,59.54196310386875
10015,J9d7iBJQ9C,10,,3,5,2,0,,,1,59.54196310386875
10016,PLy2CzThIE,10,,1,6,3,0,,,1,59.54196310386875
10017,VtqpyFn57Z,10,,2,3,5,0,,,1,59.54196310386875
10018,K7jQsdhMto,10,,1,3,6,0,,,1,59.54196310386875
10019,voZamObRjs,10,,0,3,7,0,,,1,57.004397181410916
10020,anJ5DuFoUP,10,,1,5,4,0,,,1,59.54196310386875
10021,V1XGRGtH2N,10,,2,7,1,0,,,1,59.54196310386875
10022,gYkSYImroy,10,,0,4,6,0,,,1,57.004397181410916
10023,eCQ1e2RsmQ,10,,2,4,4,0,,,1,59.54196310386875
10024,LofjV9hVHx,10,,1,4,5,0,,,1,59.54196310386875
10025,KuphIL1j9S,10,,2,4,4,0,,,1,59.54196310386875
10026,LIokSW7r7Y,10,,2,5,3,0,,,1,59.54196310386875
10027,9MzVpcleOo,10,,1,3,6,0,,,1,59.54196310386875
10028,JOgj20GUBl,10,,2,5,3,0,,,1,59.54196310386875
10029,paafHUnmD5,10,,1,3,6,0,,,1,59.54196310386875
10030,K7vLcq7tMc,10,,2,3,5,0,,,1,59.54196310386875
10031,Qoo7iZZIwV,10,,1,5,4,0,,,1,59.54196310386875
10032,RbaUGmWAV4,10,,1,6,3,0,,,1,59.54196310386875
10033,ddVnBnsGlX,10,,0,4,6,0,,,1,57.004397181410916
10034,8wDABmxHeO,10,,1,5,4,0,,,1,59.54196310386875
10035,J7Fpv0ZHdN,10,,2,5,3,0,,,1,59.54196310386875
